case,family,api,size,run,duration_sec
sql_df_projection_chain,sql_vs_df,SQL,20000000,3,1.6225652910070494
sql_df_projection_chain,sql_vs_df,SQL,20000000,4,1.558686874981504
sql_df_projection_chain,sql_vs_df,SQL,20000000,5,1.5903272090072278
sql_df_projection_chain,sql_vs_df,DataFrame,20000000,1,1.9302514580194838
sql_df_projection_chain,sql_vs_df,DataFrame,20000000,2,2.00862408298417
sql_df_projection_chain,sql_vs_df,DataFrame,20000000,3,1.9796581249975134
sql_df_projection_chain,sql_vs_df,DataFrame,20000000,4,1.8499740000115708
sql_df_projection_chain,sql_vs_df,DataFrame,20000000,5,1.7682288749783766
sql_df_case_vs_union,sql_vs_df,SQL,2000000,1,0.3464461670082528
sql_df_case_vs_union,sql_vs_df,SQL,2000000,2,0.3567746249900665
sql_df_case_vs_union,sql_vs_df,SQL,2000000,3,0.32042987502063625
sql_df_case_vs_union,sql_vs_df,SQL,2000000,4,0.31090345900156535
sql_df_case_vs_union,sql_vs_df,SQL,2000000,5,0.32949845801340416
sql_df_case_vs_union,sql_vs_df,DataFrame,2000000,1,0.46253029198851436
sql_df_case_vs_union,sql_vs_df,DataFrame,2000000,2,0.49223020899808034
sql_df_case_vs_union,sql_vs_df,DataFrame,2000000,3,0.5438509160012472
sql_df_case_vs_union,sql_vs_df,DataFrame,2000000,4,0.47819966697716154
sql_df_case_vs_union,sql_vs_df,DataFrame,2000000,5,0.44871812500059605
sql_df_case_vs_union,sql_vs_df,SQL,8000000,1,0.632395250024274
sql_df_case_vs_union,sql_vs_df,SQL,8000000,2,0.6558164160232991
sql_df_case_vs_union,sql_vs_df,SQL,8000000,3,0.6555027079884894
sql_df_case_vs_union,sql_vs_df,SQL,8000000,4,0.6949561249930412
sql_df_case_vs_union,sql_vs_df,SQL,8000000,5,0.7435228750109673
sql_df_case_vs_union,sql_vs_df,DataFrame,8000000,1,0.59471425000811
sql_df_case_vs_union,sql_vs_df,DataFrame,8000000,2,0.5930585419991985
sql_df_case_vs_union,sql_vs_df,DataFrame,8000000,3,0.5949001249973662
sql_df_case_vs_union,sql_vs_df,DataFrame,8000000,4,0.6196849590050988
sql_df_case_vs_union,sql_vs_df,DataFrame,8000000,5,0.5913101249898318
sql_df_case_vs_union,sql_vs_df,SQL,20000000,1,1.4293732499936596
sql_df_case_vs_union,sql_vs_df,SQL,20000000,2,1.3795957079855725
sql_df_case_vs_union,sql_vs_df,SQL,20000000,3,1.3320268340175971
sql_df_case_vs_union,sql_vs_df,SQL,20000000,4,1.3566974170098547
sql_df_case_vs_union,sql_vs_df,SQL,20000000,5,1.3802177920006216
sql_df_case_vs_union,sql_vs_df,DataFrame,20000000,1,1.0641483749786858
sql_df_case_vs_union,sql_vs_df,DataFrame,20000000,2,0.8633406249864493
sql_df_case_vs_union,sql_vs_df,DataFrame,20000000,3,0.891271250002319
sql_df_case_vs_union,sql_vs_df,DataFrame,20000000,4,0.8290920839936007
sql_df_case_vs_union,sql_vs_df,DataFrame,20000000,5,0.8136681659962051
